"Reference","Qty","Value","Exclude from BOM","Footprint","LCSC Part #"
"BT1","1","Solar_Lamp","","",""
"C1,C3","2","10uF","","Capacitor_SMD:C_0402_1005Metric","C15525"
"C2","1","22uF","","Capacitor_SMD:C_0603_1608Metric","C59461"
"D1","1","D_Photo","","","C131196"
"L1","1","10uH","","Inductor_SMD:L_0603_1608Metric","C1035"
"Q1,Q2","2","AO3416","","PCM_Package_TO_SOT_SMD_AKL:SOT-23","C347499"
"R1,R2,R3,R4,R5,R6,R7,R8","8","470","","Resistor_SMD:R_0402_1005Metric","C25117"
"R9","1","TBD","","",""
"SW1,SW2","2","SW_Push","","","C139797"
"U1","1","YD3622ARL","","light:YD3622ARL","C46614038"
"U2","1","CH32V003FxUx","","Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","C5299908"
"U3","1","LTR-303ALS-01","","OptoDevice:Lite-On_LTR-303ALS-01","C492382"
"U4","1","XT1861","","Package_TO_SOT_SMD:SOT-23-3","C236396"
