Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C15525
C2,0603,1,22uF,C59461
"C3, C4, C5, C6",0402,4,1uF,C52923
C7,0402,1,22n,C5137468
D1,Photodiode_PD70-01C,1,D_Photo,C131196
D2,D_SOD-323,1,1N4148WS,C2904852
D3,SOT-23-3,1,MAC97A8,C2831929
D4,D_SOD-123,1,5V6,C173406
"D5, D6",D_SOD-123F,2,1N4004,C162734
J1,USB_C_Receptacle_SHOU_HAN_16PIN_2MD,1,USB_C_Receptacle_USB2.0_14P,C2765186
L1,0603,1,10uH,C281107
"Q1, Q2, Q3",SOT-23,3,AO3416,C347499
"R1, R2, R3, R6, R7",0402,5,470,C25117
"R10, R11, R12, R9",0402,4,2.2k,C25879
"R13, R14",0402,2,5.1k,C25905
"R15, R19",0402,2,1.5k,C25867
"R16, R17",0402,2,4M7,C3013173
R18,0603,1,18,C2933165
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888430
U1,YD3622A,1,YD3622ARL,C46614038
U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,CH32V003FxUx,C5299908
U3,Lite-On_LTR-303ALS-01,1,LTR-303ALS-01,C492382
U4,SOT-23-3,1,XT1861,C236396
U5,SOT-23-3,1,XC6206PxxxMR,C347376
