Designator,Mid X,Mid Y,Rotation,Layer
C1,104.83,-83.6,0.0,top
C2,110.23,-85.95,270.0,top
C3,129.68,-95.85,180.0,top
C4,137.78,-96.45,0.0,top
C5,132.5,-101.1425,90.0,top
C6,137.73,-101.2,270.0,top
C7,107.75,-97.35,270.0,top
D1,136.475,-83.15,180.0,top
D2,108.45,-100.0,0.0,top
D3,105.15,-95.8,270.0,top
D4,109.9,-96.7,270.0,top
D5,112.71,-100.8,270.0,top
D6,111.3,-90.55,180.0,top
J1,123.195,-99.7,0.0,top
L1,104.83,-84.8,0.0,top
Q1,112.775,-80.4625,270.0,top
Q2,133.8,-87.3,270.0,top
Q3,115.8,-97.1,90.0,top
R1,136.5,-80.05,90.0,top
R10,138.78,-92.0,270.0,top
R11,136.27,-92.51,0.0,top
R12,137.78,-92.0,270.0,top
R13,121.19,-93.95,180.0,top
R14,125.585,-93.875,0.0,top
R15,131.18,-96.95,0.0,top
R16,107.75,-102.2,180.0,top
R17,105.45,-102.2,180.0,top
R18,106.0,-99.35,90.0,top
R19,106.6,-90.55,0.0,top
R2,130.625,-88.475,90.0,top
R3,130.625,-90.425,90.0,top
R6,137.6,-80.05,90.0,top
R7,135.4,-80.05,90.0,top
R9,131.83,-89.125,270.0,top
SW1,141.05,-87.45,270.0,top
SW2,141.05,-93.325,270.0,top
U1,122.18,-84.58,180.0,top
U2,131.83,-93.59,90.0,top
U3,137.78,-94.5,90.0,top
U4,108.3925,-83.86,180.0,top
U5,135.1925,-101.2,0.0,top
